"phylum","class","order","family","genus","species","country","adm1","lon","lat"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Södermanland","16.94562","59.37117"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","4.8","51.4"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Japan","Chiba Pref.","140.143219","35.200035"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Pohjois-Savo (PS)","28.049685","63.005377"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Zeeland","4.05","51.25"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","5.45","51.3"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","5.55","51.45"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Bohuslän","11.94802","57.75561"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Bohuslän","12.05633","58.40857"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Skåne","14.10457","55.90337"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Bohuslän","11.4093","58.44577"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Brabant","4.4","51.35"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Vestfold og Telemark","10.401126","59.208809"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Viken","10.595314","59.418057"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Småland","16.11895","57.03031"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Italy","South Tyrol","11.873","46.739"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Etelä-Savo (ES)","26.903228","61.443022"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Estonia",NA,"21.92451","58.26813"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Japan","Kagoshima","130.6228","30.3151"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Groningen","7.1","52.9"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Drenthe","6.9","52.75"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","6","52.2"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"126.738486","37.873708"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"126.548964","37.502533"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"127.307128","37.882989"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Japan","Akita","139.7611","39.9481"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Japan","Chiba Pref.","140.153896","35.145019"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","5.85","51.75"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Rogaland","5.831928","58.833452"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Västergötland","12.08457","57.65801"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Blekinge","15.79962","56.12951"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","5.5","52.2"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Finland","Uusimaa (U)","26.411246","60.735976"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Germany",NA,"14.541636","51.524982"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Germany",NA,"13.338639","48.664227"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Gelderland","6.55","52.1"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"127.541944","36.836667"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","South Korea",NA,"126.747253","35.39595"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Overijssel","6.15","52.5"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Friesland","6.2","52.9"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","United Kingdom","England","1.55888","52.086238"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Denmark","F","10.3454","55.531799"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Austria","Vorarlberg","9.764","47.171"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Sweden","Värmland","13.55281","59.66055"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Netherlands","Noord-Holland","4.65","52.65"
"Arthropoda","Insecta","Lepidoptera","Tortricidae","Eupoecilia","Eupoecilia ambiguella","Norway","Viken","10.645764","59.699502"
